hour_ts,target_reviews_next_hour,target_reviews_next_24h
2026-04-21 23:00:00+00:00,38.0,235.0
2026-04-22 00:00:00+00:00,10.0,197.0
2026-04-22 01:00:00+00:00,0.0,187.0
2026-04-22 02:00:00+00:00,0.0,187.0
2026-04-22 03:00:00+00:00,0.0,187.0
2026-04-22 04:00:00+00:00,0.0,187.0
2026-04-22 05:00:00+00:00,0.0,187.0
2026-04-22 06:00:00+00:00,0.0,187.0
2026-04-22 07:00:00+00:00,0.0,187.0
2026-04-22 08:00:00+00:00,0.0,187.0
2026-04-22 09:00:00+00:00,4.0,187.0
2026-04-22 10:00:00+00:00,26.0,183.0
2026-04-22 11:00:00+00:00,18.0,157.0
2026-04-22 12:00:00+00:00,0.0,139.0
2026-04-22 13:00:00+00:00,5.0,139.0
2026-04-22 14:00:00+00:00,1.0,134.0
2026-04-22 15:00:00+00:00,8.0,133.0
2026-04-22 16:00:00+00:00,0.0,125.0
2026-04-22 17:00:00+00:00,6.0,125.0
2026-04-22 18:00:00+00:00,8.0,119.0
2026-04-22 19:00:00+00:00,4.0,111.0
2026-04-22 20:00:00+00:00,29.0,107.0
2026-04-22 21:00:00+00:00,19.0,78.0
2026-04-22 22:00:00+00:00,59.0,59.0
2026-04-22 23:00:00+00:00,0.0,0.0
